id,Fragment,nodes,edges,s_abs,s_rel,c_abs,c_rel
340,N(-C)-C=C(-C1=C=C=N=C2=N=C(-C(-C)=C-C)=C(-C)=C=2=1)=C=C=C,21,22,162,14.903404,4,1.6460905
341,N(-C)-C=C(-C1=C=C=N=C2=N=C(-C(-C-C-N)=C-C)=C=C=2=1)=C=C=C,22,23,129,11.867525,4,1.6460905
342,N(-C)-C=C(-C1=C=C=N=C2=N=C(-C(-C-C)=C-C)=C=C=2=1)=C=C=C,21,22,154,14.167434,4,1.6460905
343,N(-C)-C=C(-C1=C=C=N=C2=N=C(-C(-C)=C-C)=C=C=2=1)=C=C=C,20,21,163,14.9954,4,1.6460905
344,N(-C=C=C=C=C-C=C=C=N)-C,11,10,109,10.027599,4,1.6460905
345,N-C-C-C(-C1=N=C2=N=C=C=C(-C3=C=C=C=C=C=3-N)=C=2=C=1-C)=C-C,23,25,125,11.49954,4,1.6460905
346,N-C-C-C(-C1=N=C2=N=C=C=C(-C(=C=C=C)=C-N)=C=2=C=1-C)=C-C,22,23,129,11.867525,4,1.6460905
347,N-C-C-C(-C1=N=C2=N=C=C=C(-C3=C=C=C=C=C=3)=C=2=C=1-C)=C-C,22,24,137,12.603496,4,1.6460905
348,N-C-C-C(-C1=N=C2=N=C=C=C(-C(=C=C=C)=C)=C=2=C=1-C)=C-C,21,22,141,12.971481,4,1.6460905
349,N-C-C-C(-C1=C=C2=C(-C3=C=C=C=C=C=3)=C=C=N=C=2=N=1)=C-C,21,23,188,17.29531,4,1.6460905
350,N-C-C-C(-C1=C=C2=C(-C(=C=C=C)=C)=C=C=N=C=2=N=1)=C-C,20,21,192,17.663294,4,1.6460905
351,N-C-C-C(-C1=C=C2=C(-C(=C)=C=C=C)=C=C=N=C=2=N=1)=C-C,20,21,192,17.663294,4,1.6460905
352,N-C-C-C(-C1=N=C2=C(=C=1)=C(-C=C=C=C=C)=C=C=N=2)=C-C,20,21,194,17.847286,4,1.6460905
353,N-C-C-C(-C1=N=C2=C(=C=1)=C(-C=C=C=C)=C=C=N=2)=C-C,19,20,198,18.215271,4,1.6460905
354,N-C-C-C(-C1=N=C2=C(=C=1)=C(-C=C)=C=C=N=2)=C-C,17,18,208,19.135235,4,1.6460905
355,N-C-C-C-C1=N=C2=C(=C=1)=C(-C(=C)=N=C(-N)=C)=C=C=N=2,19,20,112,10.303588,3,1.2345679
356,N-C-C(=C=C=C=C)=C-C(-C)=C,11,10,160,14.719411,4,1.6460905
357,N-C1=C(-C2=C=C=N=C3=N=C(-C(-C-C)=C-C)=C(-C)=C=3=2)=C=C=C=C=1,22,24,150,13.799448,4,1.6460905
358,N-C1=C(-C2=C=C=N=C3=N=C(-C(-C)=C-C)=C(-C)=C=3=2)=C=C=C=C=1,21,23,159,14.627415,4,1.6460905
359,N-C=C(-C1=C=C=N=C2=N=C(-C(-C-C)=C-C)=C(-C)=C=2=1)=C=C=C,21,22,154,14.167434,4,1.6460905
360,N-C=C(-C1=C=C=N=C2=N=C(-C(-C)=C-C)=C(-C)=C=2=1)=C=C=C,20,21,163,14.9954,4,1.6460905
361,N1=C2=C(=C=C=1-C(-C)-C)=C(-C(=C=C)=C=C)=C=C=N=2,17,18,112,10.303588,2,0.82304525
