id,Fragment,nodes,edges,s_abs,s_rel,c_abs,c_rel,is_valid
228,N1-C-C-C(-C2=N=C3=N=C=C=C(-C4=C=C=C=C=C=4-N-C)=C=3=C=2)=C-C-1,23,26,119,10.947562,4,1.6460905,False
229,N1-C-C-C(-C2=N=C3=N=C=C=C(-C(=C=C=C)=C-N-C)=C=3=C=2)=C-C-1,22,24,123,11.315547,4,1.6460905,False
230,N1-C-C=C(-C-C-1)-C1=C=C2=C(-C3=C=C=C=C=C=3)=C=C=N=C=2=N=1,21,24,182,16.74333,4,1.6460905,False
231,N1-C-C=C(-C-C-1)-C1=C=C2=C(-C(=C=C=C)=C)=C=C=N=C=2=N=1,20,22,186,17.111315,4,1.6460905,False
232,N1-C-C=C(-C-C-1)-C1=C=C2=C(-C(=C)=C=C=C)=C=C=N=C=2=N=1,20,22,186,17.111315,4,1.6460905,False
233,N1-C-C=C(-C-C-1)-C1=N=C2=C(=C=1)=C(-C=C=C=C=C)=C=C=N=2,20,22,188,17.29531,4,1.6460905,False
234,N1-C-C=C(-C-C-1)-C1=N=C2=C(=C=1)=C(-C=C=C=C)=C=C=N=2,19,21,192,17.663294,4,1.6460905,False
235,N1-C-C=C(-C-C-1)-C1=N=C2=C(=C=1)=C(-C=C)=C=C=N=2,17,19,202,18.583256,4,1.6460905,False
236,N1-C-C-C(-C=N=C2=N=C=C=C(-C3=C=C=C=C=C=3-N-C-C)=C=2)=C-C-1,23,25,119,10.947562,4,1.6460905,False
237,N1-C-C-C(-C=N=C2=N=C=C=C(-C(=C=C=C)=C-N-C-C)=C=2)=C-C-1,22,23,123,11.315547,4,1.6460905,False
239,N(-C-C-C(-C1=N=C2=N=C=C=C(-C3=C=C=C=C=C=3)=C=2=C=1)=C-C)-C-C,23,25,121,11.131555,3,1.2345679,False
240,N(-C-C-C(-C1=N=C2=N=C=C=C(-C(=C=C=C)=C)=C=2=C=1)=C-C)-C-C,22,23,122,11.223551,3,1.2345679,False
241,N(-C-C-C(-C1=N=C2=N=C=C=C(-C=C)=C=2=C=1)=C-C)-C-C,19,20,126,11.5915365,3,1.2345679,False
242,N(-C-C-C(-C1=N=C2=N=C=C=C(-C3=C=C=C=C=C=3)=C=2=C=1)=C)-C-C,22,24,137,12.603496,3,1.2345679,False
243,N(-C-C-C(-C1=N=C2=N=C=C=C(-C(=C=C=C)=C)=C=2=C=1)=C)-C-C,21,22,138,12.695492,3,1.2345679,False
244,N(-C-C-C(-C1=N=C2=N=C=C=C(-C=C)=C=2=C=1)=C)-C-C,18,19,142,13.0634775,3,1.2345679,False
246,N(-C-C=C(-C1=N=C2=N=C=C=C(-C3=C=C=C=C=C=3)=C=2=C=1)-C)-C-C,22,24,126,11.5915365,3,1.2345679,False
247,N(-C-C=C(-C1=N=C2=N=C=C=C(-C(=C=C=C)=C)=C=2=C=1)-C)-C-C,21,22,127,11.683533,3,1.2345679,False
248,N(-C-C=C(-C1=N=C2=N=C=C=C(-C=C)=C=2=C=1)-C)-C-C,18,19,131,12.0515175,3,1.2345679,False
251,N(-C(=N=C(-C1=C2=C=C(-C(-C-C)-C)=N=C=2=N=C=C=1)=C)=C)-C-C,21,22,117,10.76357,3,1.2345679,False
252,N(-C(=N=C(-C1=C2=C=C(-C-C-C-N)=N=C=2=N=C=C=1)=C)=C)-C-C,21,22,110,10.119596,1,0.41152263,False
253,N(-C(=N=C(-C1=C2=C=C(-C-C-C)=N=C=2=N=C=C=1)=C)=C)-C-C,20,21,131,12.0515175,4,1.6460905,False
254,N(-C(=N=C(-C1=C2=C=C(-C-C)=N=C=2=N=C=C=1)=C)=C)-C-C,19,20,132,12.143515,4,1.6460905,False
255,N(-C(=N=C(-C1=C=C=N=C=C=1)=C)=C)-C-C,14,14,133,12.235511,4,1.6460905,False
256,N(-C(=N=C-C)=C)-C-C,8,7,134,12.327507,4,1.6460905,False
257,N(-C=N=C(-C(=C(=C=C)=C=N)=C)=C=C)-C-C,15,14,109,10.027599,3,1.2345679,False
258,N(-C=N=C(-C(=C=C=N)=C)=C=C)-C-C,13,12,111,10.211592,3,1.2345679,False
259,N(-C=N=C(-C(=C=C=C)=C)=C=C)-C-C,13,12,111,10.211592,3,1.2345679,False
260,N(-C=N=C(-C(=C=C)=C)=C=C)-C-C,12,11,112,10.303588,3,1.2345679,False
261,N(-C=N=C(-C(=C(=C=C)=C(=N=C)=N)=C)=C)-C-C,16,15,140,12.879485,4,1.6460905,False
262,N(-C=N=C(-C(=C(=C=C)=C=N)=C)=C)-C-C,14,13,144,13.24747,4,1.6460905,False
263,N(-C=N=C(-C(=C=C=C(-C(-C)-C)=N)=C=C)=C)-C-C,17,16,118,10.855566,3,1.2345679,False
264,N(-C=N=C(-C(=C=C=C(-C-C)=N)=C=C)=C)-C-C,16,15,133,12.235511,4,1.6460905,False
265,N(-C=N=C(-C(=C=C(=N)=N=C=C)=C)=C)-C-C,15,14,140,12.879485,4,1.6460905,False
266,N(-C=N=C(-C(=C=C=C)=C)=C)-C-C,12,11,146,13.431462,4,1.6460905,False
267,N(-C=N=C(-C=C(=C=C)=C=N=C)=C=C)-C-C,15,14,109,10.027599,3,1.2345679,False
268,N(-C=N=C(-C=C(=C=C)=C=N)=C=C)-C-C,14,13,110,10.119596,3,1.2345679,False
269,N(-C=N=C(-C=C=C=N=C)=C=C)-C-C,13,12,111,10.211592,3,1.2345679,False
270,N(-C=N=C(-C=C=C=N)=C=C)-C-C,12,11,112,10.303588,3,1.2345679,False
271,N(-C=N=C(-C=C=C=C)=C=C)-C-C,12,11,112,10.303588,3,1.2345679,False
272,N(-C=N=C(-C=C=C)=C=C)-C-C,11,10,113,10.395584,3,1.2345679,False
273,N(-C=N=C(-C=C(=C)=C(=N=C=C)=N=C)=C)-C-C,16,15,140,12.879485,4,1.6460905,False
274,N(-C=N=C(-C=C(=C=C)=C=N=C)=C)-C-C,14,13,144,13.24747,4,1.6460905,False
